Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited
Enyinnaya,518,Germany,Male,46,4,113625.93,1,No,92727.42,Yes
Ritchie,589,Germany,Male,55,7,119961.48,1,No,65156.83,Yes
Chia,824,France,Male,45,3,129209.48,1,No,60151.77,No
Wang,719,Germany,Female,42,5,137227.04,3,No,149097.38,Yes
Lorenzo,617,Germany,Female,58,3,119024.75,2,No,35199.24,Yes
Pai,651,France,Male,35,7,74623.5,3,No,129451.29,Yes
Nuttall,637,Spain,Female,45,2,157929.45,1,Yes,145134.49,Yes
Osborne,554,France,Female,26,7,92606.86,2,No,192709.69,No
Ferri,731,Germany,Male,35,2,127862.93,2,No,139083.7,No
Hamilton,569,Spain,Female,42,1,0,1,Yes,83629.6,Yes
McEwan,625,Germany,Female,37,4,142711.81,1,No,35625.41,No
Lai,592,France,Female,38,4,0,2,No,35338.96,No
Hs?,669,France,Male,43,1,163159.85,1,Yes,15602.8,No
Thompson,663,Germany,Male,32,3,108586.86,1,Yes,182355.21,No
Boyd,518,Germany,Female,41,5,110624.99,1,No,89327.67,No
Trevisani,686,Germany,Female,43,5,154846.24,2,Yes,151903.6,No
Lucciano,709,Germany,Male,45,4,122917.71,1,Yes,21490,Yes
Holman,571,France,Female,33,9,0,2,Yes,77519.62,No
Bazhenov,707,France,Female,31,2,82787.93,2,No,91423.69,No
Douglas,701,Germany,Male,32,5,102500.34,1,No,106287.77,No
Hill,672,France,Male,34,9,0,2,No,161800.77,No
Lo,620,Germany,Male,39,9,159492.79,1,No,80582.34,Yes
Forbes,557,Spain,Male,48,10,0,2,Yes,185094.48,No
Lin,648,Spain,Female,54,7,118241.02,1,No,172586.89,Yes
Sinclair,479,France,Female,35,2,113090.4,1,No,195649.79,No
Kemp,730,France,Female,22,9,65763.57,1,Yes,145792.01,No
Ebelegbulam,737,Germany,Female,43,1,125537.38,1,No,138510.01,Yes
Woods,616,France,Male,31,3,94263.91,2,No,168895.06,No
Genovese,639,Spain,Male,29,4,133434.57,2,No,97983.44,No
Tseng,815,Spain,Female,39,6,0,1,Yes,85167.88,No
Chiang,786,Spain,Male,31,9,0,2,Yes,18210.36,No
Williams,549,France,Male,50,9,94748.76,2,Yes,13608.18,No
Wilson,622,France,Female,38,4,98640.74,1,Yes,110457.99,No
Wang,624,France,Male,26,9,74681.9,2,No,31231.35,No
Moore,841,France,Male,34,4,0,2,No,141582.66,No
Iadanza,614,Spain,Female,41,7,179915.85,1,No,14666.35,Yes
Wallace,676,France,Male,30,1,128207.23,1,Yes,55400.17,No
Clark,697,France,Male,42,9,132739.26,2,No,174667.65,No
Y?,732,France,Female,40,10,0,2,No,154189.08,No
Yermakov,623,France,Male,27,4,120509.81,1,No,142170.44,No
Wei,541,France,Male,46,4,124547.13,2,No,94499.06,No
Chukwunonso,773,Spain,Female,39,4,0,2,Yes,182081.45,No
McIntyre,762,Germany,Male,34,4,88815.56,2,No,68562.26,Yes
Ts'ai,655,Spain,Female,35,1,82231.51,2,No,88798.02,No
Chung,602,Germany,Male,32,7,184715.86,2,No,113781.99,No
Tsou,850,France,Male,31,3,0,2,No,121866.87,No
Aitken,649,Spain,Male,51,4,0,1,Yes,150390.57,No
Dawson,850,Germany,Male,28,4,147972.19,1,No,60708.72,Yes
Ward,543,France,Male,43,9,0,2,Yes,78858.07,No
Pai,672,France,Male,52,8,170008.84,1,No,56407.42,Yes
Ifeanyichukwu,600,France,Female,27,3,0,2,Yes,125698.97,No
Briggs,671,Spain,Female,34,10,0,1,No,23235.38,No
Morrison,706,Spain,Female,42,8,95386.82,1,Yes,75732.25,No
Wall,541,Germany,Male,51,7,90373.28,2,No,179861.79,No
Nebechukwu,711,Germany,Male,34,4,133467.77,2,Yes,42976.64,No
Yao,630,Spain,Male,30,3,0,2,Yes,10486.69,No
Liao,531,France,Male,31,3,96288.26,1,No,56794.73,No
Ch'ang,641,France,Female,26,4,91547.84,2,Yes,28157.34,No
Burke,631,Germany,Male,37,8,138292.64,2,No,152422.91,Yes
Kay,685,France,Male,35,9,0,1,No,167033.83,No
McIntyre,702,Spain,Male,32,8,71667.74,1,Yes,126082.18,No
Chidiegwu,708,Germany,Female,43,0,118994.84,1,No,181499.77,Yes
Musgrove,653,Spain,Male,55,7,0,2,Yes,41967.03,No
Boulger,654,Germany,Male,37,2,145610.07,2,No,186300.59,No
Gow,596,France,Female,33,1,138162.81,1,No,85412.54,No
Amaechi,549,Germany,Female,31,9,135020.21,2,Yes,23343.18,No
Robe,754,France,Male,38,2,0,2,No,180698.32,No
Bibi,815,Germany,Female,25,8,135161.67,1,Yes,136071.05,No
Niu,556,France,Female,52,9,0,1,No,175149.2,Yes
Palerma,706,France,Male,32,6,94486.47,1,Yes,146949.74,No
Cocci,850,France,Male,46,9,117640.39,1,No,88920.68,No
Artemieva,732,Spain,Female,33,8,111379.55,1,Yes,45098.62,No
Arcuri,614,France,Male,40,6,0,1,Yes,20339.79,Yes
Owen,580,Spain,Female,57,0,136820.99,1,Yes,108528.74,No
Franklin,593,France,Female,46,7,98752.51,1,No,145560.38,No
Lorenzo,653,Germany,Female,25,2,158266.42,3,Yes,199357.24,No
Muriel,746,France,Female,29,4,105599.67,1,Yes,43106.17,No
MacDevitt,662,France,Female,29,10,0,2,No,137508.31,No
Chijindum,573,France,Male,31,2,0,2,Yes,91957.39,No
Gibson,684,Spain,Female,39,4,139723.9,1,Yes,120612.11,No
Whitehead,793,France,Female,41,3,141806.46,1,No,102921.17,No
Johnstone,798,Germany,Female,49,5,132571.67,1,Yes,31686.33,Yes
Endrizzi,524,France,Male,40,2,180516.9,1,No,180002.42,No
Burke,816,France,Male,31,8,0,2,Yes,28407.4,No
Johnson,742,Germany,Female,41,4,92805.72,1,Yes,73743.95,Yes
Yeh,540,France,Male,22,4,0,3,Yes,186233.26,Yes
Marshall,537,Germany,Male,39,3,135309.36,1,No,31728.86,Yes
Kao,759,Spain,Female,74,6,128917.84,1,Yes,48244.64,No
Browne,774,France,Female,52,2,56580.93,1,No,113266.28,Yes
Taylor,608,Germany,Male,42,8,131390.75,2,No,71178.09,No
Gibbons,704,Spain,Male,37,4,0,2,No,25684.93,No
Nott,581,France,Male,41,8,0,2,No,29737.14,No
Lei,628,Germany,Female,61,1,97361.66,1,Yes,149922.38,Yes
Alexeeva,566,France,Female,42,6,0,1,No,180702.12,Yes
Sheets,701,Spain,Male,59,7,0,2,Yes,27597.59,No
Tokaryev,735,Spain,Male,29,10,0,2,Yes,95025.27,No
Ts'ui,680,France,Female,34,1,0,2,No,167035.07,No
Johnston,560,France,Male,57,0,0,2,Yes,116781.71,No
Kung,663,Germany,Female,29,4,102714.65,2,No,21170.81,No
Unwin,665,France,Female,34,5,67816.72,1,Yes,29641.58,No
Hsueh,758,France,Male,51,8,81710.46,1,Yes,116520.07,No
Hao,621,France,Male,26,2,75237.54,1,Yes,44220.4,No
L?,764,Germany,Male,28,10,124023.18,1,No,166188.28,No
Frater,537,Germany,Female,46,5,100727.5,1,Yes,140857.76,Yes
Brennan,589,France,Female,46,10,107238.85,2,No,37024.28,No
Pisani,555,France,Male,24,5,0,2,No,27513.47,No
Golubev,734,France,Female,29,0,139994.66,1,No,17744.72,No
Vanmeter,783,Spain,Female,59,9,126224.87,1,Yes,4423.63,No
Hs?,678,Germany,Female,51,1,145751.03,1,No,109718.44,Yes
Scott,661,France,Male,47,5,0,1,Yes,107243.31,Yes
Crawford,607,Spain,Female,25,4,121166.89,1,Yes,115288.24,No
P'eng,537,Spain,Female,38,1,0,2,Yes,41233.97,No
Rearick,513,Spain,Male,88,10,0,2,Yes,52952.24,No
Genovesi,576,France,Male,63,9,70655.48,1,No,78955.8,Yes
Glenny,660,Germany,Male,41,1,129901.21,1,No,26025.6,Yes
Marks,637,France,Male,40,8,125470.81,1,Yes,174536.17,No
Fleming,672,France,Female,53,9,169406.33,4,Yes,147311.47,Yes
Davison,629,France,Male,32,2,0,2,Yes,77965.44,No
Chibuzo,583,Germany,Male,40,4,107041.3,1,Yes,5635.63,No
Wilson,763,Spain,Female,32,10,95153.77,1,Yes,81310.1,No
Endrizzi,516,Germany,Male,32,3,145166.09,2,No,111421.45,No
Yuryeva,617,France,Female,27,4,0,2,No,190269.21,No
Ugochukwu,700,France,Male,38,9,65962.63,1,Yes,100950.48,No
Lo Duca,727,Germany,Male,36,6,140418.81,1,Yes,113033.73,Yes
Gallo,689,Spain,Female,31,3,139799.63,1,Yes,120663.57,No
Trout,626,Germany,Male,49,9,171787.84,2,No,187192.23,No
Morley,686,France,Male,38,6,149238.97,1,Yes,97825.23,No
Chou,351,Germany,Female,57,4,163146.46,1,No,169621.69,Yes
Shao,739,France,Female,37,8,0,2,No,191557.1,Yes
Trentino,627,France,Male,32,10,0,2,No,103287.62,No
Mazzanti,451,Germany,Female,38,9,61482.47,1,Yes,167538.66,No
Endrizzi,512,France,Female,41,8,145150.28,1,No,64869.32,Yes
Monaldo,774,France,Female,41,5,126670.37,1,No,102426.06,No
Otutodilinna,652,France,Female,40,8,84390.8,2,Yes,107876.2,No
Allen,638,Germany,Male,37,2,89728.86,2,Yes,37294.88,No
Milne,475,France,Female,57,1,0,2,No,89248.99,No
Somadina,567,Spain,Male,40,4,118628.8,1,No,91973.63,No
Chieloka,750,France,Male,37,3,0,2,No,16870.2,No
Chukwuebuka,850,France,Male,39,6,96863.13,1,Yes,121681.19,No
Chioke,753,France,Female,38,6,142263.45,1,Yes,33730.43,No
Kovalev,683,Spain,Female,36,7,0,2,No,104786.59,No
Doherty,710,France,Female,32,3,0,1,No,94790.34,No
Baranov,645,Spain,Female,21,1,0,2,No,28726.07,No
Rossi,714,France,Male,28,6,122724.37,1,Yes,67057.27,No
Robinson,696,Germany,Female,35,4,174902.26,1,No,69079.85,No
Bidencope,612,Spain,Female,26,4,0,2,Yes,179780.74,No
T'ien,520,Germany,Female,31,3,108914.17,1,Yes,183572.39,Yes
De Bernales,782,Spain,Male,23,10,98052.66,1,Yes,142587.32,No
Wade,666,France,Male,46,5,123873.19,1,Yes,177844.06,No
Chung,466,Germany,Female,56,2,111920.13,3,No,197634.11,Yes
Stevenson,567,France,Female,45,4,0,2,Yes,121053.19,No
Chienezie,613,France,Male,20,3,0,2,Yes,149613.77,No
Cashin,718,France,Male,37,8,0,2,Yes,142.81,No
Seppelt,614,France,Female,37,8,75150.34,4,Yes,131766.67,Yes
Brownless,711,France,Male,38,10,0,2,No,53311.78,No
McDonald,691,Germany,Female,38,5,114753.76,1,No,107665.02,No
Mamelu,527,France,Male,32,0,0,1,No,109523.88,No
McGregor,476,France,Female,32,6,111871.93,1,No,112132.86,No
McDonald,619,Spain,Female,45,0,0,2,No,113645.4,No
Crawford,607,Germany,Female,37,4,135927.06,1,No,180890.4,No
Feng,695,Spain,Male,44,8,0,2,Yes,70974.13,No
Genovese,653,France,Male,33,1,0,2,No,53379.52,No
Pirozzi,677,France,Male,46,2,57037.74,1,Yes,158531.01,No
Gibbs,655,France,Female,50,10,0,4,No,179267.94,Yes
Milne,625,France,Female,52,2,79468.96,1,Yes,84606.03,No
Dickson,679,Germany,Female,34,7,121063.85,1,No,56984.58,No
O'Connor,734,France,Male,51,1,118537.47,1,Yes,116912.45,No
McGuirk,666,France,Male,39,10,0,2,No,102999.33,No
Toscani,592,Germany,Female,26,4,105082.07,2,No,132801.57,No
Ruth,564,France,Male,40,4,0,1,No,85455.62,Yes
Hughes,814,France,Female,36,6,0,2,Yes,98657.01,No
Onyekaozulu,592,Germany,Male,36,2,104702.65,2,No,107948.72,No
Aksenov,758,France,Female,50,2,95813.76,3,Yes,67944.09,Yes
K'ung,612,Spain,Female,62,0,167026.61,2,Yes,192892.05,No
Meng,498,Germany,Male,61,7,102453.26,1,No,187247.56,Yes
Nwoye,638,Germany,Male,25,4,148045.45,2,Yes,114722.42,No
Calabresi,558,France,Male,35,1,0,2,No,111687.57,No
Milano,756,France,Female,24,1,0,2,No,184182.25,No
Kirby,782,Spain,Male,52,4,0,1,Yes,52759.82,Yes
Ho,505,France,Male,34,10,104498.79,1,Yes,126451.14,No
Chukwuemeka,671,Spain,Female,29,6,0,2,No,12048.67,No
Hale,801,France,Male,42,6,0,2,Yes,95804.33,No
K?,604,France,Male,26,8,149542.52,2,Yes,197911.52,No
Rice,716,France,Female,29,10,87946.39,1,Yes,182531.74,No
Brown,624,France,Female,45,3,68639.57,1,No,168002.31,Yes
Sagese,607,Germany,Male,47,4,148826.32,1,Yes,79450.61,No
Aksyonova,827,France,Female,60,2,0,2,Yes,60615.83,No
Findlay,606,France,Male,61,5,108166.09,2,Yes,8643.21,No
Walker,717,Germany,Female,35,5,103214.71,1,No,172172.7,No
Hao,651,Germany,Male,40,1,134760.21,2,No,174434.06,Yes
Hammer,691,France,Male,58,3,0,1,Yes,194930.3,Yes
Abbott,573,France,Female,33,0,90124.64,1,No,137476.71,No
Lucas,723,Spain,Male,38,6,0,2,Yes,94415.6,No
Davydova,584,Germany,Female,46,6,87361.02,2,No,120376.87,Yes
West,550,Germany,Female,45,8,111257.59,1,No,97623.42,Yes
Smith,611,France,Female,61,3,131583.59,4,Yes,66238.23,Yes
Mai,549,Germany,Male,41,9,95020.8,3,Yes,131710.59,Yes
Fiorentino,850,Spain,Female,24,1,0,2,Yes,69052.87,No
Freeman,668,Germany,Male,34,5,80242.37,2,No,56780.97,No
Nkemjika,686,France,Female,43,0,0,1,Yes,170072.9,No
Ramos,660,France,Male,50,1,0,3,Yes,191849.15,Yes
Mario,682,Spain,Female,59,0,122661.39,1,Yes,84803.76,No
Chien,524,France,Male,50,4,0,2,Yes,31840.59,Yes
Dubinina,645,France,Female,36,8,0,2,Yes,12096.61,Yes
Wang,850,France,Male,42,0,0,2,No,44165.84,No
Hsieh,537,France,Female,53,3,0,1,Yes,91406.62,No
Moran,599,Spain,Female,46,7,81742.84,2,No,83282.21,No
Hung,727,Spain,Male,71,8,0,1,Yes,198446.91,Yes
Moss,756,Spain,Male,30,2,145127.85,1,No,7554.68,No
Fedorova,755,France,Male,38,9,148912.44,1,No,80416.16,No
Li,634,Spain,Female,41,4,0,2,Yes,164549.74,No
Nebechi,837,France,Male,26,4,89900.24,2,No,175477.03,No
Obialo,727,Germany,Female,30,8,119027.28,2,Yes,137903.54,No
Bateson,567,Germany,Female,40,2,105222.86,2,No,93795.86,No
Long,650,Spain,Female,30,6,0,1,No,67997.13,Yes
Nelson,655,Spain,Male,34,1,116114.93,1,Yes,49492.15,No
Bell,763,France,Female,58,9,187911.55,1,Yes,35825.18,No
Udinese,843,France,Female,27,5,0,2,Yes,67494.23,No
Mao,667,France,Female,38,6,144432.04,1,Yes,73963.17,Yes
Fanucci,705,France,Female,50,4,77065.9,2,Yes,145159.26,No
Yeh,660,Germany,Female,29,6,180520.29,1,Yes,123850.58,No
Onuoha,553,France,Male,42,1,0,2,No,23822.04,No
Moore,612,Germany,Female,47,6,130024.87,1,Yes,45750.21,Yes
Thornton,641,Germany,Female,40,2,110086.69,1,No,159773.14,No
Warlow-Davies,513,Spain,Female,31,5,174853.46,1,No,84238.63,No
Champion,680,France,Male,44,7,108724.98,1,Yes,72330.46,No
Mazzanti,711,France,Male,58,9,91285.13,2,Yes,26767.85,No
Macleod,689,Spain,Male,40,2,0,2,Yes,164768.82,No
Lei,665,Germany,Female,51,9,110610.41,2,Yes,1112.76,Yes
Lucchese,551,Germany,Male,54,5,102994.04,1,No,176680.16,Yes
Lombardo,645,Spain,Male,36,4,59893.85,2,No,43999.64,No
William,616,Germany,Male,29,8,149318.55,1,No,140746.13,No
Wright,582,France,Female,32,1,116409.55,1,Yes,152790.92,No
Ozoemena,365,Germany,Male,30,0,127760.07,1,No,81537.85,Yes
Boyle,697,Germany,Female,38,6,132591.36,1,Yes,7387.8,Yes
Chinwendu,704,France,Male,31,0,0,2,No,183038.33,No
Uwaezuoke,656,France,Female,46,5,113402.14,2,Yes,138849.06,No
Archambault,712,France,Female,31,7,0,2,No,170333.38,No
Ko,748,France,Male,40,0,0,1,No,60416.76,No
Udegbulam,724,France,Male,28,9,0,2,Yes,100240.2,No
Greene,691,France,Male,50,6,136953.47,1,Yes,2704.98,No
Hunter,563,France,Male,33,8,0,2,Yes,68815.05,No
Blinova,741,France,Male,32,5,0,1,Yes,64839.23,No
De Garis,778,France,Male,44,8,123863.64,1,No,144494.94,No
Okwudiliolisa,848,Spain,Male,22,7,120811.89,,Yes,185510.34,No
Ts'ai,634,Germany,Male,38,2,148430.55,1,Yes,56055.72,No
Tuan,505,Germany,Male,40,6,47869.69,2,Yes,155061.97,No
Tseng,692,Germany,Male,53,7,150926.99,2,No,119817.19,No
Holmwood,537,Germany,Female,47,6,103163.35,1,No,16259.64,Yes
Thompson,633,France,Male,29,10,130206.28,1,No,184654.87,No
Y?,833,France,Female,28,4,136674.51,2,No,5278.78,No
Chidubem,592,Spain,Female,40,2,200322.45,1,Yes,113244.73,No
Trevisani,587,Spain,Male,48,1,0,2,Yes,8908,No
Hsiung,550,Spain,Male,62,7,80927.56,1,Yes,64490.67,No
Randall,680,France,Female,24,10,0,3,No,154971.63,Yes
Leach,622,Spain,Female,41,9,0,2,Yes,155786.39,No
Godfrey,594,Germany,Male,28,0,142574.71,2,No,129084.82,No
Wallace,643,Germany,Female,34,7,160426.07,1,Yes,188533.11,No
Wei,540,France,Male,25,5,116160.23,1,No,13411.67,No
Mitchell,635,Spain,Female,34,5,98683.47,2,No,15733.19,No
Light,657,France,Male,32,3,118829.03,2,Yes,73127.61,No
Capon,814,France,Male,31,1,118870.92,1,No,101704.19,No
Hou,600,France,Male,32,1,0,1,Yes,101986.16,No
Rowe,682,France,Female,46,2,0,1,Yes,114442.66,No
Holloway,682,France,Male,38,4,107192.38,1,Yes,15669.17,No
O'Sullivan,566,France,Male,42,3,108010.78,1,Yes,157486.1,No
Udinesi,550,Spain,Male,34,3,0,2,No,131281.28,No
Nwebube,630,France,Male,26,7,129837.72,2,Yes,197001.15,No
Chibueze,546,Germany,Female,58,3,106458.31,4,No,128881.87,Yes
Walker,486,France,Male,63,9,97009.15,1,Yes,85101,No
Gregory,762,Spain,Male,35,9,122929.42,2,No,149822.04,No
Kuo,692,Germany,Male,45,6,152296.83,4,Yes,108040.86,Yes
Wilson,498,France,Female,30,1,0,2,No,135795.53,No
Lanford,850,Spain,Male,49,8,0,1,No,25867.67,Yes
Meng,603,France,Male,35,6,128993.76,2,No,130483.56,No
Yeh,551,France,Female,36,5,0,1,No,183479.12,No
Onwuatuegwu,627,Germany,Male,27,0,185267.45,2,Yes,77027.34,No
Goliwe,515,France,Female,28,9,0,2,No,94141.75,No
Anthony,605,Spain,Female,29,3,116805.82,1,No,4092.75,No
Scott,567,Germany,Male,29,5,129750.68,1,No,109257.59,No
Genovese,568,Germany,Female,29,2,129177.01,2,Yes,104617.99,No
Onyeorulu,571,Germany,Male,25,6,82506.72,2,No,167705.07,No
Myers,634,Germany,Male,48,2,107247.69,1,Yes,103712.05,Yes
Davey,768,Spain,Female,42,3,0,1,No,161242.99,Yes
Parsons,554,Germany,Female,36,3,157780.93,2,No,6089.13,No
Chikere,629,France,Male,35,1,172170.36,1,Yes,159777.37,No
Hs?eh,638,Spain,Male,48,2,0,2,Yes,7919.08,No
Sal,576,France,Male,41,1,0,1,Yes,188274.6,No
Ts'ai,661,Spain,Female,42,9,75361.44,1,No,27608.12,Yes
Witt,592,France,Female,27,4,0,2,Yes,183569.25,No
Skelton,702,Spain,Male,30,2,0,2,Yes,145537.32,No
Kazantseva,647,France,Female,29,0,98263.46,2,No,164717.95,No
Bowhay,593,France,Male,43,9,0,2,Yes,76357.43,No
Beyer,712,Germany,Female,40,3,109308.79,2,No,120158.72,Yes
Fries,625,Spain,Female,31,8,0,2,No,151843.54,No
Tao,538,Germany,Female,28,6,164365.44,1,Yes,5698.97,No
Kaodilinakachukwu,637,Spain,Female,22,5,98800,1,No,122865.55,No
Ni,632,France,Male,27,4,193125.85,1,Yes,152665.85,No
Hsueh,736,France,Male,27,5,51522.75,1,Yes,192131.77,No
Connely,755,France,Male,23,5,84284.48,2,Yes,62851.6,No
Becker,425,Spain,Female,39,5,0,2,No,140941.47,No
Clayton,461,France,Male,51,9,119889.84,1,No,56767.67,Yes
Connolly,745,France,Male,21,4,137910.45,1,Yes,177235.23,No
Graham,616,France,Female,37,6,0,2,No,86242.18,No
Ch'ien,587,France,Male,33,5,100116.82,1,No,34215.58,No
Manfrin,850,Germany,Male,40,4,166082.15,2,Yes,44406.17,No
Kuo,601,France,Female,38,0,0,2,No,165196.65,No
Fomin,730,Spain,Male,26,3,0,1,No,34542.41,No
Chamberlain,532,France,Male,44,3,148595.55,1,No,74838.64,Yes
Barber,850,Germany,Male,53,2,94078.97,2,No,36980.54,No
Zimmer,779,Spain,Female,34,5,0,2,Yes,111676.63,No
Brazenor,562,France,Male,29,9,0,1,Yes,25858.68,No
Cocci,670,Germany,Male,40,2,164948.98,3,No,177028,Yes
Caldwell,729,France,Female,62,4,140549.4,1,No,30990.16,Yes
Yirawala,767,France,Female,44,2,152509.25,1,Yes,136915.15,No
Donaldson,742,France,Female,28,2,191864.51,1,No,108457.99,Yes
Ozerova,669,France,Female,44,8,96418.09,1,No,131609.48,Yes
Bruce,542,Spain,Male,32,2,131945.94,1,Yes,159737.56,No
Kang,586,France,Male,29,3,0,2,Yes,142238.54,No
Rossi,612,Germany,Male,30,9,142910.15,1,No,105890.55,Yes
Ts'ai,740,France,Female,37,7,0,2,Yes,194270.91,No
Moran,584,France,Male,35,3,146311.58,1,Yes,105443.47,No
Jennings,524,France,Male,52,2,87894.26,1,No,173899.42,Yes
Tokareva,614,France,Female,19,5,97445.49,2,No,122823.34,No
Pagnotto,598,France,Female,64,9,0,1,Yes,13181.37,Yes
Castella,799,Spain,Male,35,7,0,2,Yes,140780.8,No
Du Cane,724,France,Male,34,2,154485.74,2,No,78560.64,No
Ferguson,601,France,Male,50,2,115625.07,1,No,185855.21,No
Odinakachukwu,804,France,Male,25,7,108396.67,1,No,128276.95,No
Woronoff,745,Germany,Male,38,5,65095.41,2,Yes,140197.42,No
Meng,667,Germany,Male,43,1,103018.45,1,No,32462.39,Yes
Sinclair,518,France,Female,38,10,84764.79,1,Yes,162253.9,No
Hsu,819,France,Female,38,10,0,2,No,30498.7,No
Panicucci,520,Spain,Female,35,4,115680.81,1,Yes,90280.7,No
Burns,625,France,Female,39,5,0,2,No,32615.21,No
Onodugoadiegbemma,673,Germany,Male,36,5,73088.06,2,No,196142.26,No
Darling,656,Germany,Female,27,3,150905.03,2,No,16998.72,No
Maggard,850,Spain,Female,23,9,143054.85,1,Yes,62980.96,No
Thomas,574,Spain,Female,28,7,0,2,No,185660.3,No
Lettiere,679,France,Male,60,6,0,2,Yes,77331.77,No
Ponomaryov,530,Germany,Female,42,0,99948.45,1,Yes,97338.62,No
Oliver,508,France,Male,44,3,115451.05,2,No,67234.33,No
Chienezie,558,Germany,Male,32,4,108235.91,1,Yes,143783.28,No
Mao,414,France,Male,38,8,0,1,Yes,77661.12,Yes
Ho,648,Spain,Male,42,2,98795.61,2,No,89123.99,No
Lucchese,721,France,Female,37,1,0,2,No,70810.8,No
Prokhorova,751,France,Male,31,8,0,2,No,17550.49,No
Alekseyeva,662,France,Male,34,2,0,2,Yes,21497.27,No
Blacklock,628,Germany,Male,29,3,113146.98,2,Yes,124749.08,No
Sazonova,597,Germany,Female,39,8,162532.14,3,No,36051.46,Yes
Henty,698,Spain,Female,40,0,92053.44,1,Yes,143681.83,No
Li,723,France,Male,48,7,0,2,Yes,150694.58,No
Azuka,586,France,Female,28,5,0,3,No,170487.4,Yes
Alexander,633,Germany,Female,29,8,104944.1,1,Yes,97684.46,No
Brock,564,France,Male,31,4,0,2,No,53520.03,No
Shen,649,France,Female,31,2,0,2,No,15200.61,No
Padovesi,622,France,Female,30,4,107879.04,1,Yes,196894.62,No
Bulgakov,459,Germany,Male,46,7,110356.42,1,No,4969.13,Yes
Mazzanti,718,France,Male,27,2,0,2,No,26229.24,No
Lord,655,Spain,Female,34,4,109783.69,2,No,134034.32,No
Ramos,696,France,Male,22,9,149777,1,Yes,198032.93,No
Pai,637,France,Female,38,3,104339.56,1,No,119882.86,No
Yuan,630,Spain,Female,21,1,85818.18,1,Yes,133102.3,No
Mao,592,France,Male,37,4,212692.97,1,No,176395.02,No
Uspenskaya,634,Germany,Male,37,1,89696.84,2,Yes,193179.88,No
Powell,608,France,Female,28,9,0,2,Yes,125062.02,No
Brown,565,Germany,Female,32,9,68067.24,1,No,143287.58,No
Poole,763,Spain,Male,67,9,148564.66,1,Yes,87236.4,No
McChesney,665,France,Female,55,8,136354.16,1,Yes,93769.89,No
Lucchese,649,France,Male,38,1,122214,1,Yes,88965.46,No
Clements,695,France,Male,45,3,0,2,Yes,30793.61,No
Yuriev,775,Germany,Male,70,6,119684.88,2,Yes,74532.02,No
Endrizzi,788,France,Female,39,3,135139.33,1,Yes,113086.08,No
Pan,569,Germany,Female,42,9,146100.75,1,No,32574.01,Yes
Manfrin,726,Spain,Female,56,8,123110.9,3,Yes,130113.78,Yes
Kennedy,564,Germany,Female,44,3,111760.4,3,Yes,104722.47,Yes
Conway,544,France,Female,32,9,110728.39,1,Yes,14559.62,No
Lablanc,614,France,Female,41,8,121558.46,1,Yes,598.8,No
Dodd,453,Germany,Female,38,8,120623.21,1,No,129697.99,No
Muir,471,France,Female,58,4,114713.57,1,Yes,36315.03,No
Milanesi,829,Germany,Female,37,3,103457.76,1,No,1114.12,No
Shen,754,Germany,Male,57,2,101134.87,2,Yes,70954.41,No
Dillon,749,Germany,Male,46,10,78136.36,2,Yes,73470.98,No
Hoelscher,667,France,Male,23,1,0,2,No,91573.19,No
Bell,670,Spain,Male,30,3,133446.34,1,No,3154.95,No
Liao,670,France,Female,33,7,0,2,Yes,88187.81,No
Udokamma,623,Germany,Female,48,1,108076.33,1,No,118855.26,Yes
Sinnett,571,France,Male,32,5,131354.25,1,No,125256.53,No
Palerma,641,Germany,Female,37,7,62974.64,2,Yes,39016.43,No
Chimaijem,551,Germany,Female,30,2,143340.44,1,No,145796.49,No
Porter,741,Germany,Male,36,8,116993.43,2,No,168816.22,No
Fan,472,France,Male,31,4,58662.92,2,Yes,73322,No
Palmer,650,Spain,Male,41,3,128808.65,3,No,113677.53,Yes
Younger,625,France,Male,45,7,137555.44,1,No,124607.7,No
Burke,650,Germany,Male,34,4,142393.11,1,Yes,11276.48,No
Nwagugheuzo,535,France,Female,38,8,0,2,No,136620.64,No
Young,649,France,Female,41,2,125785.23,1,Yes,70523.92,No
Watson,689,France,Male,22,4,136444.25,1,No,51980.25,Yes
Tseng,694,Spain,Male,38,7,121527.4,1,No,113481.02,No
Drake,655,Germany,Male,52,9,144696.75,,Yes,49025.79,No
Hanna,620,France,Male,36,8,0,2,Yes,145937.99,No
Padovesi,577,France,Female,35,10,0,2,Yes,25161.61,No
Loftus,401,Germany,Male,48,8,128140.17,1,No,175753.55,Yes
Buccho,599,France,Male,25,6,120383.41,1,Yes,24903.09,No
Lorenzo,481,France,Female,57,9,0,3,Yes,169719.35,Yes
Ibezimako,704,France,Male,42,8,129735.3,2,Yes,179565.57,No
Wei,698,Spain,Female,31,8,185078.26,1,No,115337.74,Yes
Ross,480,France,Female,28,6,0,2,No,48131.92,No
Oluchukwu,682,France,Male,42,0,0,1,Yes,160828.98,No
Walker,700,Spain,Male,31,7,0,2,Yes,145151.96,No
Wu,492,France,Male,29,1,144591.96,1,Yes,196293.76,No
Chidalu,444,France,Female,45,4,0,2,No,161653.5,Yes
Ingram,624,France,Male,36,6,0,2,No,84635.64,No
Ch'en,709,France,Male,37,7,0,1,No,159486.76,No
